"The National Center for Health Statistics (NCHS) has published an update to  the International Classification of Diseases, 10th Revision, Clinical Modification (ICD-10-CM) diagnosis codes, which will become effective October 1, 2019.   
The FY 2020 (October 1, 2019-September 30, 2020) Conversion Table for new ICD-10-CM codes is provided to assist users in data retrieval.  For each new code the table shows the effective date and its previously assigned code equivalent.",,
Current code assignment,Effective October 1,Previous Code(s) Assignment
S02.640A,2016,S02.64XA
S02.640B,2016,S02.64XB
S02.640D,2016,S02.64XD
S02.640G,2016,S02.64XG
S02.640K,2016,S02.64XK
S02.640S,2016,S02.64XS
S02.641A,2016,S02.64XA
S02.641B,2016,S02.64XB
S02.641D,2016,S02.64XD
S02.641G,2016,S02.64XG
S02.641K,2016,S02.64XK
S02.641S,2016,S02.64XS
S02.642A,2016,S02.64XA
S02.642B,2016,S02.64XB
S02.642D,2016,S02.64XD
S02.642G,2016,S02.64XG
S02.642K,2016,S02.64XK
S02.642S,2016,S02.64XS
S02.650A,2016,S02.65XA
S02.650B,2016,S02.65XB
S02.650D,2016,S02.65XD
S02.650G,2016,S02.65XG
S02.650K,2016,S02.65XK
S02.650S,2016,S02.65XS
S02.651A,2016,S02.65XA
S02.651B,2016,S02.65XB
S02.651D,2016,S02.65XD
S02.651G,2016,S02.65XG
S02.651K,2016,S02.65XK
S02.651S,2016,S02.65XS
S02.652A,2016,S02.65XA
S02.652B,2016,S02.65XB
S02.652D,2016,S02.65XD
S02.652G,2016,S02.65XG
S02.652K,2016,S02.65XK
S02.652S,2016,S02.65XS
S02.670A,2016,S02.67XA
S02.670B,2016,S02.67XB
S02.670D,2016,S02.67XD
S02.670G,2016,S02.67XG
S02.670K,2016,S02.67XK
S02.670S,2016,S02.67XS
S02.671A,2016,S02.67XA
S02.671B,2016,S02.67XB
S02.671D,2016,S02.67XD
S02.671G,2016,S02.67XG
S02.671K,2016,S02.67XK
S02.671S,2016,S02.67XS
S02.672A,2016,S02.67XA
S02.672B,2016,S02.67XB
S02.672D,2016,S02.67XD
S02.672G,2016,S02.67XG
S02.672K,2016,S02.67XK
S02.672S,2016,S02.67XS
S02.80XA,2016,S02.8XXA
S02.80XB,2016,S02.8XXB
S02.80XD,2016,S02.8XXD
S02.80XG,2016,S02.8XXG
S02.80XK,2016,S02.8XXK
S02.80XS,2016,S02.8XXS
S02.81XA,2016,S02.8XXA
S02.81XB,2016,S02.8XXB
S02.81XD,2016,S02.8XXD
S02.81XG,2016,S02.8XXG
S02.81XK,2016,S02.8XXK
S02.81XS,2016,S02.8XXS
S02.82XA,2016,S02.8XXA
S02.82XB,2016,S02.8XXB
S02.82XD,2016,S02.8XXD
S02.82XG,2016,S02.8XXG
S02.82XK,2016,S02.8XXK
S02.82XS,2016,S02.8XXS
S02.831A,2019,S02.81XA
S02.831B,2019,S02.81XB
S02.831D,2019,S02.81XD
S02.831G,2019,S02.81XG
S02.831K,2019,S02.81XK
S02.831S,2019,S02.81XS
S02.832A,2019,S02.82XA
S02.832B,2019,S02.82XB
S02.832D,2019,S02.82XD
S02.832G,2019,S02.82XG
S02.832K,2019,S02.82XK
S02.832S,2019,S02.82XS
S02.839A,2019,S02.80XA
S02.839B,2019,S02.80XB
S02.839D,2019,S02.80XD
S02.839G,2019,S02.80XG
S02.839K,2019,S02.80XK
S02.839S,2019,S02.80XS
S02.841A,2019,S02.81XA
S02.841B,2019,S02.81XB
S02.841D,2019,S02.81XD
S02.841G,2019,S02.81XG
S02.841K,2019,S02.81XK
S02.841S,2019,S02.81XS
S02.842A,2019,S02.82XA
S02.842B,2019,S02.82XB
S02.842D,2019,S02.82XD
S02.842G,2019,S02.82XG
S02.842K,2019,S02.82XK
S02.842S,2019,S02.82XS
S02.849A,2019,S02.80XA
S02.849B,2019,S02.80XB
S02.849D,2019,S02.80XD
S02.849G,2019,S02.80XG
S02.849K,2019,S02.80XK
S02.849S,2019,S02.80XS
S02.85XA,2019,S02.80XA
S02.85XB,2019,S02.80XB
S02.85XD,2019,S02.80XD
S02.85XG,2019,S02.80XG
S02.85XK,2019,S02.80XK
S02.85XS,2019,S02.80XS
S03.00XA,2016,S03.0XXA
S03.00XD,2016,S03.0XXD
S03.00XS,2016,S03.0XXS
S03.01XA,2016,S03.0XXA
S03.01XD,2016,S03.0XXD
S03.01XS,2016,S03.0XXS
S03.02XA,2016,S03.0XXA
S03.02XD,2016,S03.0XXD
S03.02XS,2016,S03.0XXS
S03.03XA,2016,S03.0XXA
S03.03XD,2016,S03.0XXD
S03.03XS,2016,S03.0XXS
S03.40XA,2016,S03.4XXA
S03.40XD,2016,S03.4XXD
S03.40XS,2016,S03.4XXS
S03.41XA,2016,S03.4XXA
S03.41XD,2016,S03.4XXD
S03.41XS,2016,S03.4XXS
S03.42XA,2016,S03.4XXA
S03.42XD,2016,S03.4XXD
S03.42XS,2016,S03.4XXS
S03.43XA,2016,S03.4XXA
S03.43XD,2016,S03.4XXD
S03.43XS,2016,S03.4XXS
S92.811A,2016,S92.901A
S92.811B,2016,S92.901B
S92.811D,2016,S92.901D
S92.811G,2016,S92.901G
S92.811K,2016,S92.901K
S92.811P,2016,S92.901P
S92.811S,2016,S92.901S
S92.812A,2016,S92.902A
S92.812B,2016,S92.902B
S92.812D,2016,S92.902D
S92.812G,2016,S92.902G
S92.812K,2016,S92.902K
S92.812P,2016,S92.902P
S92.812S,2016,S92.902S
S92.819A,2016,S92.909A
S92.819B,2016,S92.909B
S92.819D,2016,S92.909D
S92.819G,2016,S92.909G
S92.819K,2016,S92.909K
S92.819P,2016,S92.909P
S92.819S,2016,S92.909S
S99.001A,2016,S92.001A
S99.001B,2016,S92.001B
S99.001D,2016,S92.001D
S99.001G,2016,S92.001G
S99.001K,2016,S92.001K
S99.001P,2016,S92.001P
S99.001S,2016,S92.001S
S99.002A,2016,S92.002A
S99.002B,2016,S92.002B
S99.002D,2016,S92.002D
S99.002G,2016,S92.002G
S99.002K,2016,S92.002K
S99.002P,2016,S92.002P
S99.002S,2016,S92.002S
S99.009A,2016,S92.009A
S99.009B,2016,S92.009B
S99.009D,2016,S92.009D
S99.009G,2016,S92.009G
S99.009K,2016,S92.009K
S99.009P,2016,S92.009P
S99.009S,2016,S92.009S
S99.011A,2016,S92.001A
S99.011B,2016,S92.001B
S99.011D,2016,S92.001D
S99.011G,2016,S92.001G
S99.011K,2016,S92.001K
S99.011P,2016,S92.001P
S99.011S,2016,S92.001S
S99.012A,2016,S92.002A
S99.012B,2016,S92.002B
S99.012D,2016,S92.002D
S99.012G,2016,S92.002G
S99.012K,2016,S92.002K
S99.012P,2016,S92.002P
S99.012S,2016,S92.002S
S99.019A,2016,S92.009A
S99.019B,2016,S92.009B
S99.019D,2016,S92.009D
S99.019G,2016,S92.009G
S99.019K,2016,S92.009K
S99.019P,2016,S92.009P
S99.019S,2016,S92.009S
S99.021A,2016,S92.009A
S99.021B,2016,S92.009B
S99.021D,2016,S92.009D
S99.021G,2016,S92.009G
S99.021K,2016,S92.009K
S99.021P,2016,S92.009P
S99.021S,2016,S92.009S
S99.022A,2016,S92.009A
S99.022B,2016,S92.009B
S99.022D,2016,S92.009D
S99.022G,2016,S92.009G
S99.022K,2016,S92.009K
S99.022P,2016,S92.009P
S99.022S,2016,S92.009S
S99.029A,2016,S92.009A
S99.029B,2016,S92.009B
S99.029D,2016,S92.009D
S99.029G,2016,S92.009G
S99.029K,2016,S92.009K
S99.029P,2016,S92.009P
S99.029S,2016,S92.009S
S99.031A,2016,S92.009A
S99.031B,2016,S92.009B
S99.031D,2016,S92.009D
S99.031G,2016,S92.009G
S99.031K,2016,S92.009K
S99.031P,2016,S92.009P
S99.031S,2016,S92.009S
S99.032A,2016,S92.009A
S99.032B,2016,S92.009B
S99.032D,2016,S92.009D
S99.032G,2016,S92.009G
S99.032K,2016,S92.009K
S99.032P,2016,S92.009P
S99.032S,2016,S92.009S
S99.039A,2016,S92.009A
S99.039B,2016,S92.009B
S99.039D,2016,S92.009D
S99.039G,2016,S92.009G
S99.039K,2016,S92.009K
S99.039P,2016,S92.009P
S99.039S,2016,S92.009S
S99.041A,2016,S92.009A
S99.041B,2016,S92.009B
S99.041D,2016,S92.009D
S99.041G,2016,S92.009G
S99.041K,2016,S92.009K
S99.041P,2016,S92.009P
S99.041S,2016,S92.009S
S99.042A,2016,S92.009A
S99.042B,2016,S92.009B
S99.042D,2016,S92.009D
S99.042G,2016,S92.009G
S99.042K,2016,S92.009K
S99.042P,2016,S92.009P
S99.042S,2016,S92.009S
S99.049A,2016,S92.009A
S99.049B,2016,S92.009B
S99.049D,2016,S92.009D
S99.049G,2016,S92.009G
S99.049K,2016,S92.009K
S99.049P,2016,S92.009P
S99.049S,2016,S92.009S
S99.091A,2016,S92.009A
S99.091B,2016,S92.009B
S99.091D,2016,S92.009D
S99.091G,2016,S92.009G
S99.091K,2016,S92.009K
S99.091P,2016,S92.009P
S99.091S,2016,S92.009S
S99.092A,2016,S92.009A
S99.092B,2016,S92.009B
S99.092D,2016,S92.009D
S99.092G,2016,S92.009G
S99.092K,2016,S92.009K
S99.092P,2016,S92.009P
S99.092S,2016,S92.009S
S99.099A,2016,S92.009A
S99.099B,2016,S92.009B
S99.099D,2016,S92.009D
S99.099G,2016,S92.009G
S99.099K,2016,S92.009K
S99.099P,2016,S92.009P
S99.099S,2016,S92.009S
S99.101A,2016,S92.009A
S99.101B,2016,S92.009B
S99.101D,2016,S92.009D
S99.101G,2016,S92.009G
S99.101K,2016,S92.009K
S99.101P,2016,S92.009P
S99.101S,2016,S92.009S
S99.102A,2016,S92.009A
S99.102B,2016,S92.009B
S99.102D,2016,S92.009D
S99.102G,2016,S92.009G
S99.102K,2016,S92.009K
S99.102P,2016,S92.009P
S99.102S,2016,S92.009S
S99.109A,2016,S92.009A
S99.109B,2016,S92.009B
S99.109D,2016,S92.009D
S99.109G,2016,S92.009G
S99.109K,2016,S92.009K
S99.109P,2016,S92.009P
S99.109S,2016,S92.009S
S99.111A,2016,S92.009A
S99.111B,2016,S92.009B
S99.111D,2016,S92.009D
S99.111G,2016,S92.009G
S99.111K,2016,S92.009K
S99.111P,2016,S92.009P
S99.111S,2016,S92.009S
S99.112A,2016,S92.009A
S99.112B,2016,S92.009B
S99.112D,2016,S92.009D
S99.112G,2016,S92.009G
S99.112K,2016,S92.009K
S99.112P,2016,S92.009P
S99.112S,2016,S92.009S
S99.119A,2016,S92.009A
S99.119B,2016,S92.009B
S99.119D,2016,S92.009D
S99.119G,2016,S92.009G
S99.119K,2016,S92.009K
S99.119P,2016,S92.009P
S99.119S,2016,S92.009S
S99.121A,2016,S92.009A
S99.121B,2016,S92.009B
S99.121D,2016,S92.009D
S99.121G,2016,S92.009G
S99.121K,2016,S92.009K
S99.121P,2016,S92.009P
S99.121S,2016,S92.009S
S99.122A,2016,S92.009A
S99.122B,2016,S92.009B
S99.122D,2016,S92.009D
S99.122G,2016,S92.009G
S99.122K,2016,S92.009K
S99.122P,2016,S92.009P
S99.122S,2016,S92.009S
S99.129A,2016,S92.009A
S99.129B,2016,S92.009B
S99.129D,2016,S92.009D
S99.129G,2016,S92.009G
S99.129K,2016,S92.009K
S99.129P,2016,S92.009P
S99.129S,2016,S92.009S
S99.131A,2016,S92.009A
S99.131B,2016,S92.009B
S99.131D,2016,S92.009D
S99.131G,2016,S92.009G
S99.131K,2016,S92.009K
S99.131P,2016,S92.009P
S99.131S,2016,S92.009S
S99.132A,2016,S92.009A
S99.132B,2016,S92.009B
S99.132D,2016,S92.009D
S99.132G,2016,S92.009G
S99.132K,2016,S92.009K
S99.132P,2016,S92.009P
S99.132S,2016,S92.009S
S99.139A,2016,S92.009A
S99.139B,2016,S92.009B
S99.139D,2016,S92.009D
S99.139G,2016,S92.009G
S99.139K,2016,S92.009K
S99.139P,2016,S92.009P
S99.139S,2016,S92.009S
S99.141A,2016,S92.009A
S99.141B,2016,S92.009B
S99.141D,2016,S92.009D
S99.141G,2016,S92.009G
S99.141K,2016,S92.009K
S99.141P,2016,S92.009P
S99.141S,2016,S92.009S
S99.142A,2016,S92.009A
S99.142B,2016,S92.009B
S99.142D,2016,S92.009D
S99.142G,2016,S92.009G
S99.142K,2016,S92.009K
S99.142P,2016,S92.009P
S99.142S,2016,S92.009S
S99.149A,2016,S92.009A
S99.149B,2016,S92.009B
S99.149D,2016,S92.009D
S99.149G,2016,S92.009G
S99.149K,2016,S92.009K
S99.149P,2016,S92.009P
S99.149S,2016,S92.009S
S99.191A,2016,S92.009A
S99.191B,2016,S92.009B
S99.191D,2016,S92.009D
S99.191G,2016,S92.009G
S99.191K,2016,S92.009K
S99.191P,2016,S92.009P
S99.191S,2016,S92.009S
S99.192A,2016,S92.009A
S99.192B,2016,S92.009B
S99.192D,2016,S92.009D
S99.192G,2016,S92.009G
S99.192K,2016,S92.009K
S99.192P,2016,S92.009P
S99.192S,2016,S92.009S
S99.199A,2016,S92.009A
S99.199B,2016,S92.009B
S99.199D,2016,S92.009D
S99.199G,2016,S92.009G
S99.199K,2016,S92.009K
S99.199P,2016,S92.009P
S99.199S,2016,S92.009S
S99.201A,2016,S92.009A
S99.201B,2016,S92.009B
S99.201D,2016,S92.009D
S99.201G,2016,S92.009G
S99.201K,2016,S92.009K
S99.201P,2016,S92.009P
S99.201S,2016,S92.009S
S99.202A,2016,S92.009A
S99.202B,2016,S92.009B
S99.202D,2016,S92.009D
S99.202G,2016,S92.009G
S99.202K,2016,S92.009K
S99.202P,2016,S92.009P
S99.202S,2016,S92.009S
S99.209A,2016,S92.009A
S99.209B,2016,S92.009B
S99.209D,2016,S92.009D
S99.209G,2016,S92.009G
S99.209K,2016,S92.009K
S99.209P,2016,S92.009P
S99.209S,2016,S92.009S
S99.211A,2016,S92.009A
S99.211B,2016,S92.009B
S99.211D,2016,S92.009D
S99.211G,2016,S92.009G
S99.211K,2016,S92.009K
S99.211P,2016,S92.009P
S99.211S,2016,S92.009S
S99.212A,2016,S92.009A
S99.212B,2016,S92.009B
S99.212D,2016,S92.009D
S99.212G,2016,S92.009G
S99.212K,2016,S92.009K
S99.212P,2016,S92.009P
S99.212S,2016,S92.009S
S99.219A,2016,S92.009A
S99.219B,2016,S92.009B
S99.219D,2016,S92.009D
S99.219G,2016,S92.009G
S99.219K,2016,S92.009K
S99.219P,2016,S92.009P
S99.219S,2016,S92.009S
S99.221A,2016,S92.009A
S99.221B,2016,S92.009B
S99.221D,2016,S92.009D
S99.221G,2016,S92.009G
S99.221K,2016,S92.009K
S99.221P,2016,S92.009P
S99.221S,2016,S92.009S
S99.222A,2016,S92.009A
S99.222B,2016,S92.009B
S99.222D,2016,S92.009D
S99.222G,2016,S92.009G
S99.222K,2016,S92.009K
S99.222P,2016,S92.009P
S99.222S,2016,S92.009S
S99.229A,2016,S92.009A
S99.229B,2016,S92.009B
S99.229D,2016,S92.009D
S99.229G,2016,S92.009G
S99.229K,2016,S92.009K
S99.229P,2016,S92.009P
S99.229S,2016,S92.009S
S99.231A,2016,S92.009A
S99.231B,2016,S92.009B
S99.231D,2016,S92.009D
S99.231G,2016,S92.009G
S99.231K,2016,S92.009K
S99.231P,2016,S92.009P
S99.231S,2016,S92.009S
S99.232A,2016,S92.009A
S99.232B,2016,S92.009B
S99.232D,2016,S92.009D
S99.232G,2016,S92.009G
S99.232K,2016,S92.009K
S99.232P,2016,S92.009P
S99.232S,2016,S92.009S
S99.239A,2016,S92.009A
S99.239B,2016,S92.009B
S99.239D,2016,S92.009D
S99.239G,2016,S92.009G
S99.239K,2016,S92.009K
S99.239P,2016,S92.009P
S99.239S,2016,S92.009S
S99.241A,2016,S92.009A
S99.241B,2016,S92.009B
S99.241D,2016,S92.009D
S99.241G,2016,S92.009G
S99.241K,2016,S92.009K
S99.241P,2016,S92.009P
S99.241S,2016,S92.009S
S99.242A,2016,S92.009A
S99.242B,2016,S92.009B
S99.242D,2016,S92.009D
S99.242G,2016,S92.009G
S99.242K,2016,S92.009K
S99.242P,2016,S92.009P
S99.242S,2016,S92.009S
S99.249A,2016,S92.009A
S99.249B,2016,S92.009B
S99.249D,2016,S92.009D
S99.249G,2016,S92.009G
S99.249K,2016,S92.009K
S99.249P,2016,S92.009P
S99.249S,2016,S92.009S
S99.291A,2016,S92.009A
S99.291B,2016,S92.009B
S99.291D,2016,S92.009D
S99.291G,2016,S92.009G
S99.291K,2016,S92.009K
S99.291P,2016,S92.009P
S99.291S,2016,S92.009S
S99.292A,2016,S92.009A
S99.292B,2016,S92.009B
S99.292D,2016,S92.009D
S99.292G,2016,S92.009G
S99.292K,2016,S92.009K
S99.292P,2016,S92.009P
S99.292S,2016,S92.009S
S99.299A,2016,S92.009A
S99.299B,2016,S92.009B
S99.299D,2016,S92.009D
S99.299G,2016,S92.009G
S99.299K,2016,S92.009K
S99.299P,2016,S92.009P
S99.299S,2016,S92.009S
T07.XXXA,2017,T07
T07.XXXD,2017,T07
T07.XXXS,2017,T07
T14.8XXA,2017,T14.8
T14.8XXD,2017,T14.8
T14.8XXS,2017,T14.8
T14.90XA,2017,T14.90
T14.90XD,2017,T14.90
T14.90XS,2017,T14.90
T14.91XA,2017,T14.91
T14.91XD,2017,T14.91
T14.91XS,2017,T14.91
T43.641A,2018,T43.621A
T43.641D,2018,T43.621D
T43.641S,2018,T43.621S
T43.642A,2018,T43.622A
T43.642D,2018,T43.622D
T43.642S,2018,T43.622S
T43.643A,2018,T43.623A
T43.643D,2018,T43.623D
T43.643S,2018,T43.623S
T43.644A,2018,T43.624A
T43.644D,2018,T43.624D
T43.644S,2018,T43.624S
T50.911A,2019,T50.991A
T50.911D,2019,T50.991D
T50.911S,2019,T50.991S
T50.912A,2019,T50.992A
T50.912D,2019,T50.992D
T50.912S,2019,T50.992S
T50.913A,2019,T50.993A
T50.913D,2019,T50.993D
T50.913S,2019,T50.993S
T50.914A,2019,T50.994A
T50.914D,2019,T50.994D
T50.914S,2019,T50.994S
T50.915A,2019,T50.995A
T50.915D,2019,T50.995D
T50.915S,2019,T50.995S
T50.916A,2019,T50.996A
T50.916D,2019,T50.996D
T50.916S,2019,T50.996S
T67.01XA,2019,T67.0XXA
T67.01XD,2019,T67.0XXD
T67.01XS,2019,T67.0XXS
T67.02XA,2019,T67.0XXA
T67.02XD,2019,T67.0XXD
T67.02XS,2019,T67.0XXS
T67.09XA,2019,T67.0XXA
T67.09XD,2019,T67.0XXD
T67.09XS,2019,T67.0XXS
T74.51XA,2018,T74.21XA
T74.51XD,2018,T74.21XD
T74.51XS,2018,T74.21XS
T74.52XA,2018,T74.22XA
T74.52XD,2018,T74.22XD
T74.52XS,2018,T74.22XS
T74.61XA,2018,T74.11XA
T74.61XD,2018,T74.11XD
T74.61XS,2018,T74.11XS
T74.62XA,2018,T74.12XA
T74.62XD,2018,T74.12XD
T74.62XS,2018,T74.12XS
T76.51XA,2018,T76.21XA
T76.51XD,2018,T76.21XD
T76.51XS,2018,T76.21XS
T76.52XA,2018,T76.22XA
T76.52XD,2018,T76.22XD
T76.52XS,2018,T76.22XS
T76.61XA,2018,T76.11XA
T76.61XD,2018,T76.11XD
T76.61XS,2018,T76.11XS
T76.62XA,2018,T76.12XA
T76.62XD,2018,T76.12XD
T76.62XS,2018,T76.12XS
T81.40XA,2018,T81.4XXA
T81.40XD,2018,T81.4XXD
T81.40XS,2018,T81.4XXS
T81.41XA,2018,T81.4XXA
T81.41XD,2018,T81.4XXD
T81.41XS,2018,T81.4XXS
T81.42XA,2018,T81.4XXA
T81.42XD,2018,T81.4XXD
T81.42XS,2018,T81.4XXS
T81.43XA,2018,T81.4XXA
T81.43XD,2018,T81.4XXD
T81.43XS,2018,T81.4XXS
T81.44XA,2018,T81.4XXA
T81.44XD,2018,T81.4XXD
T81.44XS,2018,T81.4XXS
T81.49XA,2018,T81.4XXA
T81.49XD,2018,T81.4XXD
T81.49XS,2018,T81.4XXS
T82.855A,2016,T82.857A
T82.855D,2016,T82.857D
T82.855S,2016,T82.857S
T82.856A,2016,T82.858A
T82.856D,2016,T82.858D
T82.856S,2016,T82.858S
T83.011A,2016,T83.018A
T83.011D,2016,T83.018D
T83.011S,2016,T83.018S
T83.012A,2016,T83.018A
T83.012D,2016,T83.018D
T83.012S,2016,T83.018S
T83.021A,2016,T83.028A
T83.021D,2016,T83.028D
T83.021S,2016,T83.028S
T83.022A,2016,T83.028A
T83.022D,2016,T83.028D
T83.022S,2016,T83.028S
T83.031A,2016,T83.038A
T83.031D,2016,T83.038D
T83.031S,2016,T83.038S
T83.032A,2016,T83.038A
T83.032D,2016,T83.038D
T83.032S,2016,T83.038S
T83.091A,2016,T83.098A
T83.091D,2016,T83.098D
T83.091S,2016,T83.098S
T83.092A,2016,T83.098A
T83.092D,2016,T83.098D
T83.092S,2016,T83.098S
T83.113A,2016,T83.118A
T83.113D,2016,T83.118D
T83.113S,2016,T83.118S
T83.123A,2016,T83.128A
T83.123D,2016,T83.128D
T83.123S,2016,T83.128S
T83.193A,2016,T83.198A
T83.193D,2016,T83.198D
T83.193S,2016,T83.198S
T83.24XA,2016,T83.29XA
T83.24XD,2016,T83.29XD
T83.24XS,2016,T83.29XS
T83.25XA,2016,T83.29XA
T83.25XD,2016,T83.29XD
T83.25XS,2016,T83.29XS
T83.411A,2016,T83.418A
T83.411D,2016,T83.418D
T83.411S,2016,T83.418S
T83.421A,2016,T83.428A
T83.421D,2016,T83.428D
T83.421S,2016,T83.428S
T83.491A,2016,T83.498A
T83.491D,2016,T83.498D
T83.491S,2016,T83.498S
T83.510A,2016,T83.51XA
T83.510D,2016,T83.51XD
T83.510S,2016,T83.51XS
T83.511A,2016,T83.51XA
T83.511D,2016,T83.51XD
T83.511S,2016,T83.51XS
T83.512A,2016,T83.51XA
T83.512D,2016,T83.51XD
T83.512S,2016,T83.51XS
T83.518A,2016,T83.51XA
T83.518D,2016,T83.51XD
T83.518S,2016,T83.51XS
T83.590A,2016,T83.59XA
T83.590D,2016,T83.59XD
T83.590S,2016,T83.59XS
T83.591A,2016,T83.59XA
T83.591D,2016,T83.59XD
T83.591S,2016,T83.59XS
T83.592A,2016,T83.59XA
T83.592D,2016,T83.59XD
T83.592S,2016,T83.59XS
T83.593A,2016,T83.59XA
T83.593D,2016,T83.59XD
T83.593S,2016,T83.59XS
T83.598A,2016,T83.59XA
T83.598D,2016,T83.59XD
T83.598S,2016,T83.59XS
T83.61XA,2016,T83.6XXA
T83.61XD,2016,T83.6XXD
T83.61XS,2016,T83.6XXS
T83.62XA,2016,T83.6XXA
T83.62XD,2016,T83.6XXD
T83.62XS,2016,T83.6XXS
T83.69XA,2016,T83.6XXA
T83.69XD,2016,T83.6XXD
T83.69XS,2016,T83.6XXS
T83.712A,2016,T83.718A
T83.712D,2016,T83.718D
T83.712S,2016,T83.718S
T83.713A,2016,T83.718A
T83.713D,2016,T83.718D
T83.713S,2016,T83.718S
T83.714A,2016,T83.718A
T83.714D,2016,T83.718D
T83.714S,2016,T83.718S
T83.719A,2016,T83.718A
T83.719D,2016,T83.718D
T83.719S,2016,T83.718S
T83.722A,2016,T83.728A
T83.722D,2016,T83.728D
T83.722S,2016,T83.728S
T83.723A,2016,T83.728A
T83.723D,2016,T83.728D
T83.723S,2016,T83.728S
T83.724A,2016,T83.728A
T83.724D,2016,T83.728D
T83.724S,2016,T83.728S
T83.729A,2016,T83.728A
T83.729D,2016,T83.728D
T83.729S,2016,T83.728S
T83.79XA,2016,T83.89XA
T83.79XD,2016,T83.89XD
T83.79XS,2016,T83.89XS
T85.113A,2016,"T85.110A, T85.111A, T85.112A, T85.118A"
T85.113D,2016,"T85.110D, T85.111D, T85.112D, T85.118D"
T85.113S,2016,"T85.110S, T85.111S, T85.112S, T85.118S"
T85.123A,2016,"T85.120A, T85.121A, T85.122A, T85.128A"
T85.123D,2016,"T85.120A, T85.121A, T85.122A, T85.128A"
T85.123S,2016,"T85.120A, T85.121A, T85.122A, T85.128A"
T85.193A,2016,"T85.190A, T85.191A, T85.192A, T85.198A"
T85.193D,2016,"T85.190A, T85.191A, T85.192A, T85.198A"
T85.193S,2016,"T85.190A, T85.191A, T85.192A, T85.198A"
T85.615A,2016,T85.618A
T85.615D,2016,T85.618D
T85.615S,2016,T85.618S
T85.625A,2016,T85.628A
T85.625D,2016,T85.628D
T85.625S,2016,T85.628S
T85.635A,2016,T85.638A
T85.635D,2016,T85.638D
T85.635S,2016,T85.638S
T85.695A,2016,T85.698A
T85.695D,2016,T85.698D
T85.695S,2016,T85.698S
T85.730A,2016,T85.79XA
T85.730D,2016,T85.79XD
T85.730S,2016,T85.79XS
T85.731A,2016,T85.79XA
T85.731D,2016,T85.79XD
T85.731S,2016,T85.79XS
T85.732A,2016,T85.79XA
T85.732D,2016,T85.79XD
T85.732S,2016,T85.79XS
T85.733A,2016,T85.79XA
T85.733D,2016,T85.79XD
T85.733S,2016,T85.79XS
T85.734A,2016,T85.79XA
T85.734D,2016,T85.79XD
T85.734S,2016,T85.79XS
T85.735A,2016,T85.79XA
T85.735D,2016,T85.79XD
T85.735S,2016,T85.79XS
T85.738A,2016,T85.79XA
T85.738D,2016,T85.79XD
T85.738S,2016,T85.79XS
T85.810A,2016,T85.81XA
T85.810D,2016,T85.81XD
T85.810S,2016,T85.81XS
T85.818A,2016,T85.81XA
T85.818D,2016,T85.81XD
T85.818S,2016,T85.81XS
T85.820A,2016,T85.82XA
T85.820D,2016,T85.82XD
T85.820S,2016,T85.82XS
T85.828A,2016,T85.82XA
T85.828D,2016,T85.82XD
T85.828S,2016,T85.82XS
T85.830A,2016,T85.83XA
T85.830D,2016,T85.83XD
T85.830S,2016,T85.83XS
T85.838A,2016,T85.83XA
T85.838D,2016,T85.83XD
T85.838S,2016,T85.83XS
T85.840A,2016,T85.84XA
T85.840D,2016,T85.84XD
T85.840S,2016,T85.84XS
T85.848A,2016,T85.84XA
T85.848D,2016,T85.84XD
T85.848S,2016,T85.84XS
T85.850A,2016,T85.85XA
T85.850D,2016,T85.85XD
T85.850S,2016,T85.85XS
T85.858A,2016,T85.85XA
T85.858D,2016,T85.85XD
T85.858S,2016,T85.85XS
T85.860A,2016,T85.86XA
T85.860D,2016,T85.86XD
T85.860S,2016,T85.86XS
T85.868A,2016,T85.86XA
T85.868D,2016,T85.86XD
T85.868S,2016,T85.86XS
T85.890A,2016,T85.89XA
T85.890D,2016,T85.89XD
T85.890S,2016,T85.89XS
T85.898A,2016,T85.89XA
T85.898D,2016,T85.89XD
T85.898S,2016,T85.89XS
T88.53XA,2016,T88.59XA
T88.53XD,2016,T88.59XD
T88.53XS,2016,T88.59XS
V47.0XXA,2016,"V47.01XA, V47.02XA"
V47.0XXD,2016,"V47.01XD, V47.02XD"
V47.0XXS,2016,"V47.01XS, V47.02XS"
V47.1XXA,2016,"V47.11XA, V47.12XA"
V47.1XXD,2016,"V47.11XD, V47.12XD"
V47.1XXS,2016,"V47.11XS, V47.12XS"
V47.3XXA,2016,"V47.31XA, V47.32XA"
V47.3XXD,2016,"V47.31XD, V47.32XD"
V47.3XXS,2016,"V47.31XS, V47.32XS"
V47.5XXA,2016,"V47.51XA, V47.52XA"
V47.5XXD,2016,"V47.51XD, V47.52XD"
V47.5XXS,2016,"V47.51XS, V47.52XS"
V47.6XXA,2016,"V47.61XA, V47.62XA"
V47.6XXD,2016,"V47.61XD, V47.62XD"
V47.6XXS,2016,"V47.61XS, V47.62XS"
V47.9XXA,2016,"V47.91XA, V47.92XA"
V47.9XXD,2016,"V47.91XD, V47.92XD"
V47.9XXS,2016,"V47.91XS, V47.92XS"
V86.05XA,2017,V86.09XA
V86.05XD,2017,V86.09XD
V86.05XS,2017,V86.09XS
V86.06XA,2017,V86.09XA
V86.06XD,2017,V86.09XD
V86.06XS,2017,V86.09XS
V86.15XA,2017,V86.19XA
