"Counter","ICD-10 code","WHO update 1=Add 2=Del","ICD-10 code descriptor","ICD-10-AM Map","Aust update 1=Add 2=Del","Additive Map (+)","ICD-10-AM code descriptor"
84,"X81",,"Intentional self-harm by jumping or lying before a moving object","X81.9",,,"Intentional self-harm by jumping or lying before unspecified moving object"
85,"X81",,"Intentional self-harm by jumping or lying before a moving object","X81.8",,,"Intentional self-harm by jumping or lying before other moving object"
86,"X81",,"Intentional self-harm by jumping or lying before a moving object","X81.0",,,"Intentional self-harm by jumping or lying before a train"
87,"X81",,"Intentional self-harm by jumping or lying before a moving object","X81.1",,,"Intentional self-harm by jumping or lying before a tram"
88,"X81",,"Intentional self-harm by jumping or lying before a moving object","X81.2",,,"Intentional self-harm by jumping or lying before a motor vehicle"
89,"X82",,"Intentional self-harm by crashing of motor vehicle","X82.9",,,"Intentional self-harm by unspecified crashing of motor vehicle, traffic"
90,"X82",,"Intentional self-harm by crashing of motor vehicle","X82.8",,,"Intentional self-harm by other specified crashing of motor vehicle, traffic"
91,"X82",,"Intentional self-harm by crashing of motor vehicle","X82.0",,,"Intentional self-harm by crashing of car with other motor vehicle, nontraffic"
92,"X82",,"Intentional self-harm by crashing of motor vehicle","X82.1",,,"Intentional self-harm by crashing of car with fixed or stationary object, nontraffic"
93,"X82",,"Intentional self-harm by crashing of motor vehicle","X82.2",,,"Intentional self-harm by other specified crashing of motor vehicle, nontraffic"
94,"X82",,"Intentional self-harm by crashing of motor vehicle","X82.3",,,"Intentional self-harm by unspecified crashing of motor vehicle, nontraffic"
95,"X82",,"Intentional self-harm by crashing of motor vehicle","X82.4",,,"Intentional self-harm by crashing of car with other motor vehicle, traffic"
96,"X82",,"Intentional self-harm by crashing of motor vehicle","X82.5",,,"Intentional self-harm by crashing of car with fixed or stationary object, traffic"
97,"X83",,"Intentional self-harm by other specified means","X83",,,"Intentional self-harm by other specified means"
98,"X84",,"Intentional self-harm by unspecified means","X84",,,"Intentional self-harm by unspecified means"
99,"X85",,"Assault by drugs, medicaments and biological substances","X85.09",,,"Assault by drugs, medicaments and biological substances, unspecified person"
100,"X85",,"Assault by drugs, medicaments and biological substances","X85.08",,,"Assault by drugs, medicaments and biological substances, other specified person"
101,"X85",,"Assault by drugs, medicaments and biological substances","X85.00",,,"Assault by drugs, medicaments and biological substances, spouse or domestic partner"
102,"X85",,"Assault by drugs, medicaments and biological substances","X85.01",,,"Assault by drugs, medicaments and biological substances, parent"
103,"X85",,"Assault by drugs, medicaments and biological substances","X85.02",,,"Assault by drugs, medicaments and biological substances, other family member"
104,"X85",,"Assault by drugs, medicaments and biological substances","X85.03",,,"Assault by drugs, medicaments and biological substances, carer"
105,"X85",,"Assault by drugs, medicaments and biological substances","X85.04",,,"Assault by drugs, medicaments and biological substances, acquaintance or friend"
106,"X85",,"Assault by drugs, medicaments and biological substances","X85.05",,,"Assault by drugs, medicaments and biological substances, official authorities"
107,"X85",,"Assault by drugs, medicaments and biological substances","X85.06",,,"Assault by drugs, medicaments and biological substances, person unknown to the victim"
108,"X85",,"Assault by drugs, medicaments and biological substances","X85.07",,,"Assault by drugs, medicaments and biological substances, multiple persons unknown to the victim"
109,"X86",,"Assault by corrosive substance","X86.09",,,"Assault by corrosive substance, unspecified person"
110,"X86",,"Assault by corrosive substance","X86.08",,,"Assault by corrosive substance, other specified person"
111,"X86",,"Assault by corrosive substance","X86.00",,,"Assault by corrosive substance, spouse or domestic partner"
112,"X86",,"Assault by corrosive substance","X86.01",,,"Assault by corrosive substance, parent"
113,"X86",,"Assault by corrosive substance","X86.02",,,"Assault by corrosive substance, other family member"
114,"X86",,"Assault by corrosive substance","X86.03",,,"Assault by corrosive substance, carer"
115,"X86",,"Assault by corrosive substance","X86.04",,,"Assault by corrosive substance, acquaintance or friend"
116,"X86",,"Assault by corrosive substance","X86.05",,,"Assault by corrosive substance, official authorities"
117,"X86",,"Assault by corrosive substance","X86.06",,,"Assault by corrosive substance, person unknown to the victim"
118,"X86",,"Assault by corrosive substance","X86.07",,,"Assault by corrosive substance, multiple persons unknown to the victim"
119,"X87",,"Assault by pesticides","X87.09",,,"Assault by pesticides, unspecified person"
120,"X87",,"Assault by pesticides","X87.08",,,"Assault by pesticides, other specified person"
121,"X87",,"Assault by pesticides","X87.00",,,"Assault by pesticides, spouse or domestic partner"
122,"X87",,"Assault by pesticides","X87.01",,,"Assault by pesticides, parent"
123,"X87",,"Assault by pesticides","X87.02",,,"Assault by pesticides, other family member"
124,"X87",,"Assault by pesticides","X87.03",,,"Assault by pesticides, carer"
125,"X87",,"Assault by pesticides","X87.04",,,"Assault by pesticides, acquaintance or friend"
126,"X87",,"Assault by pesticides","X87.05",,,"Assault by pesticides, official authorities"
127,"X87",,"Assault by pesticides","X87.06",,,"Assault by pesticides, person unknown to the victim"
128,"X87",,"Assault by pesticides","X87.07",,,"Assault by pesticides, multiple persons unknown to the victim"
129,"X88.0","1","Assault by carbon monoxide from combustion engine exhaust","X88.09",,,"Assault by poisoning by exposure to carbon monoxide from combustion engine exhaust, unspecified person"
130,"X88.0","1","Assault by carbon monoxide from combustion engine exhaust","X88.08",,,"Assault by poisoning by and exposure to carbon monoxide from combustion engine exhaust, other specified person"
131,"X88.0","1","Assault by carbon monoxide from combustion engine exhaust","X88.00",,,"Assault by poisoning and exposure to carbon monoxide from combustion engine exhaust, spouse or domestic partner"
132,"X88.0","1","Assault by carbon monoxide from combustion engine exhaust","X88.01",,,"Assault by poisoning and exposure to carbon monoxide from combustion engine exhaust, parent"
133,"X88.0","1","Assault by carbon monoxide from combustion engine exhaust","X88.02",,,"Assault by poisoning and exposure to carbon monoxide from combustion engine exhaust, other family member "
134,"X88.0","1","Assault by carbon monoxide from combustion engine exhaust","X88.03",,,"Assault by poisoning and exposure to carbon monoxide from combustion engine exhaust, carer"
135,"X88.0","1","Assault by carbon monoxide from combustion engine exhaust","X88.04",,,"Assault by poisoning and exposure to carbon monoxide from combustion engine exhaust, acquaintance or friend"
136,"X88.0","1","Assault by carbon monoxide from combustion engine exhaust","X88.05",,,"Assault by poisoning and exposure to carbon monoxide from combustion engine exhaust, official authorities"
137,"X88.0","1","Assault by carbon monoxide from combustion engine exhaust","X88.06",,,"Assault by poisoning and exposure to carbon monoxide from combustion engine exhaust, person unknown to the victim"
138,"X88.0","1","Assault by carbon monoxide from combustion engine exhaust","X88.07",,,"Assault by poisoning and exposure to carbon monoxide from combustion engine exhaust, multiple persons unknown to the victim"
139,"X88.1","1","Assault by carbon monoxide from utility gas","X88.19","1",,"Assault by poisoning and exposure to carbon monoxide from utility gas, unspecified person"
140,"X88.1","1","Assault by carbon monoxide from utility gas","X88.18","1",,"Assault by poisoning and exposure to carbon monoxide from utility gas, other specified person"
141,"X88.1","1","Assault by carbon monoxide from utility gas","X88.10","1",,"Assault by poisoning and exposure to carbon monoxide from utility gas, spouse or domestic partner"
142,"X88.1","1","Assault by carbon monoxide from utility gas","X88.11","1",,"Assault by poisoning and exposure to carbon monoxide from utility gas, parent"
143,"X88.1","1","Assault by carbon monoxide from utility gas","X88.12","1",,"Assault by poisoning and exposure to carbon monoxide from utility gas, other family member"
144,"X88.1","1","Assault by carbon monoxide from utility gas","X88.13","1",,"Assault by poisoning and exposure to carbon monoxide from utility gas, carer"
145,"X88.1","1","Assault by carbon monoxide from utility gas","X88.14","1",,"Assault by poisoning and exposure to carbon monoxide from utility gas, acquaintance or friend"
146,"X88.1","1","Assault by carbon monoxide from utility gas","X88.15","1",,"Assault by poisoning and exposure to carbon monoxide from utility gas, official authorities"
147,"X88.1","1","Assault by carbon monoxide from utility gas","X88.16","1",,"Assault by poisoning and exposure to carbon monoxide from utility gas, person unknown to the victim"
148,"X88.1","1","Assault by carbon monoxide from utility gas","X88.17","1",,"Assault by poisoning and exposure to carbon monoxide from utility gas, multiple persons unknown to victim"
149,"X88.2","1","Assault by carbon monoxide from other domestic fuels","X88.29","1",,"Assault by poisoning and exposure to carbon monoxide from other domestic fuels, unspecified person"
150,"X88.2","1","Assault by carbon monoxide from other domestic fuels","X88.28","1",,"Assault by poisoning and exposure to carbon monoxide from other domestic fuels, other specified person"
151,"X88.2","1","Assault by carbon monoxide from other domestic fuels","X88.20","1",,"Assault by poisoning and exposure to carbon monoxide from other domestic fuels, spouse or domestic partner"
152,"X88.2","1","Assault by carbon monoxide from other domestic fuels","X88.21","1",,"Assault by poisoning and exposure to carbon monoxide from other domestic fuels, parent"
153,"X88.2","1","Assault by carbon monoxide from other domestic fuels","X88.22","1",,"Assault by poisoning and exposure to carbon monoxide from other domestic fuels, other family member"
154,"X88.2","1","Assault by carbon monoxide from other domestic fuels","X88.23","1",,"Assault by poisoning and exposure to carbon monoxide from other domestic fuels, carer"
155,"X88.2","1","Assault by carbon monoxide from other domestic fuels","X88.24","1",,"Assault by poisoning and exposure to carbon monoxide from other domestic fuels, acquaintance or friend"
156,"X88.2","1","Assault by carbon monoxide from other domestic fuels","X88.25","1",,"Assault by poisoning and exposure to carbon monoxide from other domestic fuels, official authorities"
157,"X88.2","1","Assault by carbon monoxide from other domestic fuels","X88.26","1",,"Assault by poisoning and exposure to carbon monoxide from other domestic fuels, person unknown to victim"
158,"X88.2","1","Assault by carbon monoxide from other domestic fuels","X88.27","1",,"Assault by poisoning and exposure to carbon monoxide from other domestic fuels, multiple persons unknown to victim"
159,"X88.3","1","Assault by carbon monoxide from other sources","X88.39","1",,"Assault by poisoning and exposure to carbon monoxide from other sources, unspecified person"
160,"X88.3","1","Assault by carbon monoxide from other sources","X88.38","1",,"Assault by poisoning and exposure to carbon monoxide from other sources, other specified person"
161,"X88.3","1","Assault by carbon monoxide from other sources","X88.30","1",,"Assault by poisoning and exposure to carbon monoxide from other sources, spouse or domestic partner"
162,"X88.3","1","Assault by carbon monoxide from other sources","X88.31","1",,"Assault by poisoning and exposure to carbon monoxide from other sources, parent"
163,"X88.3","1","Assault by carbon monoxide from other sources","X88.32","1",,"Assault by poisoning and exposure to carbon monoxide from other sources, other family member"
164,"X88.3","1","Assault by carbon monoxide from other sources","X88.33","1",,"Assault by poisoning by and exposure to carbon monoxide from other sources, carer"
165,"X88.3","1","Assault by carbon monoxide from other sources","X88.34","1",,"Assault by poisoning and exposure to carbon monoxide from other sources, acquaintance or friend"
166,"X88.3","1","Assault by carbon monoxide from other sources","X88.35","1",,"Assault by poisoning and exposure to carbon monoxide from other sources, official authorities"
167,"X88.3","1","Assault by carbon monoxide from other sources","X88.36","1",,"Assault by poisoning and exposure to carbon monoxide from other sources, person unknown to victim"
168,"X88.3","1","Assault by carbon monoxide from other sources","X88.37","1",,"Assault by poisoning and exposure to carbon monoxide from other sources, multiple persons unknown to the victim"
169,"X88.4","1","Assault by carbon monoxide from unspecified sources","X88.49","1",,"Assault by poisoning and exposure to carbon monoxide from unspecified sources, unspecified person"
170,"X88.4","1","Assault by carbon monoxide from unspecified sources","X88.48","1",,"Assault by poisoning and exposure to carbon monoxide from unspecified sources, other specified person"
171,"X88.4","1","Assault by carbon monoxide from unspecified sources","X88.40","1",,"Assault by poisoning and exposure to carbon monoxide from unspecified sources, spouse or domestic partner"
172,"X88.4","1","Assault by carbon monoxide from unspecified sources","X88.41","1",,"Assault by poisoning and exposure to carbon monoxide from unspecified sources, parent"
173,"X88.4","1","Assault by carbon monoxide from unspecified sources","X88.42","1",,"Assault by poisoning and exposure to carbon monoxide from unspecified sources, other family member"
174,"X88.4","1","Assault by carbon monoxide from unspecified sources","X88.43","1",,"Assault by poisoning and exposure to carbon monoxide from unspecified sources, carer"
175,"X88.4","1","Assault by carbon monoxide from unspecified sources","X88.44","1",,"Assault by poisoning and exposure to carbon monoxide from unspecified sources, acquaintance or friend"
176,"X88.4","1","Assault by carbon monoxide from unspecified sources","X88.45","1",,"Assault by poisoning and exposure to carbon monoxide from unspecified sources, official authorities"
177,"X88.4","1","Assault by carbon monoxide from unspecified sources","X88.46","1",,"Assault by poisoning and exposure to carbon monoxide from unspecified sources, person unknown to the victim"
178,"X88.4","1","Assault by carbon monoxide from unspecified sources","X88.47","1",,"Assault by poisoning and exposure to carbon monoxide from unspecified sources, multiple persons unknown to the victim"
179,"X88.8","1","Assault by other specified gases and vapours","X88.89","1",,"Assault by poisoning and exposure to other specified gases and vapours, unspecified person"
180,"X88.8","1","Assault by other specified gases and vapours","X88.88","1",,"Assault by poisoning and exposure to other specified gases and vapours, other specified person"
181,"X88.8","1","Assault by other specified gases and vapours","X88.80","1",,"Assault by poisoning and exposure to other specified gases and vapours, spouse or domestic partner"
182,"X88.8","1","Assault by other specified gases and vapours","X88.81","1",,"Assault by poisoning and exposure to other specified gases and vapours, parent"
183,"X88.8","1","Assault by other specified gases and vapours","X88.82","1",,"Assault by poisoning and exposure to other specified gases and vapours, other family member"
184,"X88.8","1","Assault by other specified gases and vapours","X88.83","1",,"Assault by poisoning and exposure to other specified gases and vapours, carer"
185,"X88.8","1","Assault by other specified gases and vapours","X88.84","1",,"Assault by poisoning and exposure to other specified gases and vapours, acquaintance or friend"
186,"X88.8","1","Assault by other specified gases and vapours","X88.85","1",,"Assault by poisoning and exposure to other specified gases and vapours, official authorities"
187,"X88.8","1","Assault by other specified gases and vapours","X88.86","1",,"Assault by poisoning and exposure to other specified gases and vapours, person unknown to the victim"
188,"X88.8","1","Assault by other specified gases and vapours","X88.87","1",,"Assault by poisoning and exposure to other specified gases and vapours, multiple persons unknown to the victim"
189,"X88.9","1","Assault by unspecified gases and vapours","X88.99","1",,"Assault by poisoning and exposure to unspecified gases and vapours, unspecified person"
190,"X88.9","1","Assault by unspecified gases and vapours","X88.98","1",,"Assault by poisoning and exposure to unspecified gases and vapours other specified person"
191,"X88.9","1","Assault by unspecified gases and vapours","X88.90","1",,"Assault by poisoning and exposure to unspecified gases and vapours, spouse or domestic partner"
192,"X88.9","1","Assault by unspecified gases and vapours","X88.91","1",,"Assault by poisoning and exposure to unspecified gases and vapours, parent"
193,"X88.9","1","Assault by unspecified gases and vapours","X88.92","1",,"Assault by poisoning and exposure to unspecified gases and vapours, other family member"
194,"X88.9","1","Assault by unspecified gases and vapours","X88.93","1",,"Assault by poisoning and exposure to unspecified gases and vapours, carer"
195,"X88.9","1","Assault by unspecified gases and vapours","X88.94","1",,"Assault by poisoning and exposure to unspecified gases and vapours, acquaintance or friend"
196,"X88.9","1","Assault by unspecified gases and vapours","X88.95","1",,"Assault by poisoning and exposure to unspecified gases and vapours, official authorities"
197,"X88.9","1","Assault by unspecified gases and vapours","X88.96","1",,"Assault by poisoning and exposure to unspecified gases and vapours, person unknown to the victim"
198,"X88.9","1","Assault by unspecified gases and vapours","X88.97","1",,"Assault by poisoning and exposure to unspecified gases and vapours, multiple persons unknown to the victim"
199,"X89",,"Assault by other specified chemicals and noxious substances","X89.09",,,"Assault by other specified chemicals and noxious substances, unspecified person"
200,"X89",,"Assault by other specified chemicals and noxious substances","X89.08",,,"Assault by other specified chemicals and noxious substances, other specified person"
201,"X89",,"Assault by other specified chemicals and noxious substances","X89.00",,,"Assault by other specified chemicals and noxious substances, spouse or domestic partner"
202,"X89",,"Assault by other specified chemicals and noxious substances","X89.01",,,"Assault by other specified chemicals and noxious substances, parent"
203,"X89",,"Assault by other specified chemicals and noxious substances","X89.02",,,"Assault by other specified chemicals and noxious substances, other family member"
204,"X89",,"Assault by other specified chemicals and noxious substances","X89.03",,,"Assault by other specified chemicals and noxious substances, carer"
205,"X89",,"Assault by other specified chemicals and noxious substances","X89.04",,,"Assault by other specified chemicals and noxious substances, acquaintance or friend"
206,"X89",,"Assault by other specified chemicals and noxious substances","X89.05",,,"Assault by other specified chemicals and noxious substances, official authorities"
207,"X89",,"Assault by other specified chemicals and noxious substances","X89.06",,,"Assault by other specified chemicals and noxious substances, person unknown to the victim"
208,"X89",,"Assault by other specified chemicals and noxious substances","X89.07",,,"Assault by other specified chemicals and noxious substances, multiple persons unknown to the victim"
209,"X90",,"Assault by unspecified chemical or noxious substance","X90.09",,,"Assault by unspecified chemical or noxious substance, unspecified person"
210,"X90",,"Assault by unspecified chemical or noxious substance","X90.08",,,"Assault by unspecified chemical or noxious substance, other specified person"
211,"X90",,"Assault by unspecified chemical or noxious substance","X90.00",,,"Assault by unspecified chemical or noxious substance, spouse or domestic partner"
212,"X90",,"Assault by unspecified chemical or noxious substance","X90.01",,,"Assault by unspecified chemical or noxious substance, parent"
213,"X90",,"Assault by unspecified chemical or noxious substance","X90.02",,,"Assault by unspecified chemical or noxious substance, other family member"
214,"X90",,"Assault by unspecified chemical or noxious substance","X90.03",,,"Assault by unspecified chemical or noxious substance, carer"
215,"X90",,"Assault by unspecified chemical or noxious substance","X90.04",,,"Assault by unspecified chemical or noxious substance, acquaintance or friend"
216,"X90",,"Assault by unspecified chemical or noxious substance","X90.05",,,"Assault by unspecified chemical or noxious substance, official authorities"
217,"X90",,"Assault by unspecified chemical or noxious substance","X90.06",,,"Assault by unspecified chemical or noxious substance, person unknown to the victim"
218,"X90",,"Assault by unspecified chemical or noxious substance","X90.07",,,"Assault by unspecified chemical or noxious substance, multiple persons unknown to the victim"
219,"X91",,"Assault by hanging, strangulation and suffocation","X91.09",,,"Assault by hanging, strangulation and suffocation, unspecified person"
220,"X91",,"Assault by hanging, strangulation and suffocation","X91.08",,,"Assault by hanging, strangulation and suffocation, other specified person"
221,"X91",,"Assault by hanging, strangulation and suffocation","X91.00",,,"Assault by hanging, strangulation and suffocation, spouse or domestic partner"
222,"X91",,"Assault by hanging, strangulation and suffocation","X91.01",,,"Assault by hanging, strangulation and suffocation, parent"
