"Counter","ICD-10 code","WHO update 1=Add 2=Del","ICD-10 code descriptor","ICD-10-AM Map","Aust update 1=Add 2=Del","Additive Map (+)","ICD-10-AM code descriptor"
42,"Y02",,"Assault by pushing or placing victim before moving object","Y02.18",,,"Assault by pushing or placing victim before a train, other specified person"
43,"Y02",,"Assault by pushing or placing victim before moving object","Y02.10",,,"Assault by pushing or placing victim before a train, spouse or domestic partner"
44,"Y02",,"Assault by pushing or placing victim before moving object","Y02.11",,,"Assault by pushing or placing victim before a train, parent"
45,"Y02",,"Assault by pushing or placing victim before moving object","Y02.12",,,"Assault by pushing or placing victim before a train, other family member"
46,"Y02",,"Assault by pushing or placing victim before moving object","Y02.13",,,"Assault by pushing or placing victim before a train, carer"
47,"Y02",,"Assault by pushing or placing victim before moving object","Y02.14",,,"Assault by pushing or placing victim before a train, acquaintance or friend"
48,"Y02",,"Assault by pushing or placing victim before moving object","Y02.15",,,"Assault by pushing or placing victim before a train, official authorities"
49,"Y02",,"Assault by pushing or placing victim before moving object","Y02.16",,,"Assault by pushing or placing victim before moving object, person unknown to the victim"
50,"Y02",,"Assault by pushing or placing victim before moving object","Y02.17",,,"Assault by pushing or placing victim before moving object, multiple persons unknown to the victim"
51,"Y02",,"Assault by pushing or placing victim before moving object","Y02.29",,,"Assault by pushing or placing victim before a tram, unspecified person"
52,"Y02",,"Assault by pushing or placing victim before moving object","Y02.28",,,"Assault by pushing or placing victim before a tram, other specified person"
53,"Y02",,"Assault by pushing or placing victim before moving object","Y02.20",,,"Assault by pushing or placing victim before a tram, spouse or domestic partner"
54,"Y02",,"Assault by pushing or placing victim before moving object","Y02.21",,,"Assault by pushing or placing victim before a tram, parent"
55,"Y02",,"Assault by pushing or placing victim before moving object","Y02.22",,,"Assault by pushing or placing victim before a tram, other family member"
56,"Y02",,"Assault by pushing or placing victim before moving object","Y02.23",,,"Assault by pushing or placing victim before a tram, carer"
57,"Y02",,"Assault by pushing or placing victim before moving object","Y02.24",,,"Assault by pushing or placing victim before a tram, acquaintance or friend"
58,"Y02",,"Assault by pushing or placing victim before moving object","Y02.25",,,"Assault by pushing or placing victim before a tram, official authorities"
59,"Y02",,"Assault by pushing or placing victim before moving object","Y02.26",,,"Assault by pushing or placing victim before a tram, person unknown to the victim"
60,"Y02",,"Assault by pushing or placing victim before moving object","Y02.27",,,"Assault by pushing or placing victim before a tram, multiple persons unknown to the victim"
61,"Y02",,"Assault by pushing or placing victim before moving object","Y02.39",,,"Assault by pushing or placing victim before a motor vehicle, unspecified person"
62,"Y02",,"Assault by pushing or placing victim before moving object","Y02.38",,,"Assault by pushing or placing victim before a motor vehicle, other specified person"
63,"Y02",,"Assault by pushing or placing victim before moving object","Y02.30",,,"Assault by pushing or placing victim before a motor vehicle, spouse or domestic partner"
64,"Y02",,"Assault by pushing or placing victim before moving object","Y02.31",,,"Assault by pushing or placing victim before a motor vehicle, parent"
65,"Y02",,"Assault by pushing or placing victim before moving object","Y02.32",,,"Assault by pushing or placing victim before a motor vehicle, other family member"
66,"Y02",,"Assault by pushing or placing victim before moving object","Y02.33",,,"Assault by pushing or placing victim before a motor vehicle, carer"
67,"Y02",,"Assault by pushing or placing victim before moving object","Y02.34",,,"Assault by pushing or placing victim before a motor vehicle, acquaintance or friend"
68,"Y02",,"Assault by pushing or placing victim before moving object","Y02.35",,,"Assault by pushing or placing victim before a motor vehicle, official authorities"
69,"Y02",,"Assault by pushing or placing victim before moving object","Y02.36",,,"Assault by pushing or placing victim before a motor vehicle, person unknown to the victim"
70,"Y02",,"Assault by pushing or placing victim before moving object","Y02.37",,,"Assault by pushing or placing victim before a motor vehicle, multiple persons unknown to the victim"
71,"Y03",,"Assault by crashing of motor vehicle","Y03.99",,,"Assault by unspecified crashing of motor vehicle, traffic, unspecified person"
72,"Y03",,"Assault by crashing of motor vehicle","Y03.98",,,"Assault by unspecified crashing of motor vehicle, traffic, other specified person"
73,"Y03",,"Assault by crashing of motor vehicle","Y03.90",,,"Assault by unspecified crashing of motor vehicle, traffic, spouse or domestic partner"
74,"Y03",,"Assault by crashing of motor vehicle","Y03.91",,,"Assault by unspecified crashing of motor vehicle, traffic, parent"
75,"Y03",,"Assault by crashing of motor vehicle","Y03.92",,,"Assault by unspecified crashing of motor vehicle, traffic, other family member"
76,"Y03",,"Assault by crashing of motor vehicle","Y03.93",,,"Assault by unspecified crashing of motor vehicle, traffic, carer"
77,"Y03",,"Assault by crashing of motor vehicle","Y03.94",,,"Assault by unspecified crashing of motor vehicle, traffic, acquaintance or friend"
78,"Y03",,"Assault by crashing of motor vehicle","Y03.95",,,"Assault by unspecified crashing of motor vehicle, traffic, official authorities"
79,"Y03",,"Assault by crashing of motor vehicle","Y03.96",,,"Assault by unspecified crashing of motor vehicle, traffic, person unknown to the victim"
80,"Y03",,"Assault by crashing of motor vehicle","Y03.97",,,"Assault by unspecified crashing of motor vehicle, traffic, multiple persons unknown to the victim"
81,"Y03",,"Assault by crashing of motor vehicle","Y03.89",,,"Assault by other specified crashing of motor vehicle, traffic, unspecified person"
82,"Y03",,"Assault by crashing of motor vehicle","Y03.88",,,"Assault by other specified crashing of motor vehicle, traffic, other specified person"
83,"Y03",,"Assault by crashing of motor vehicle","Y03.80",,,"Assault by other specified crashing of motor vehicle, traffic, spouse or domestic partner"
84,"Y03",,"Assault by crashing of motor vehicle","Y03.81",,,"Assault by other specified crashing of motor vehicle, traffic, parent"
85,"Y03",,"Assault by crashing of motor vehicle","Y03.82",,,"Assault by other specified crashing of motor vehicle, traffic, other family member"
86,"Y03",,"Assault by crashing of motor vehicle","Y03.83",,,"Assault by other specified crashing of motor vehicle, traffic, carer"
87,"Y03",,"Assault by crashing of motor vehicle","Y03.84",,,"Assault by other specified crashing of motor vehicle, traffic, acquaintance or friend"
88,"Y03",,"Assault by crashing of motor vehicle","Y03.85",,,"Assault by other specified crashing of motor vehicle, traffic, official authorities"
89,"Y03",,"Assault by crashing of motor vehicle","Y03.86",,,"Assault by other specified crashing of motor vehicle, traffic, person unknown to the victim"
90,"Y03",,"Assault by crashing of motor vehicle","Y03.87",,,"Assault by other specified crashing of motor vehicle, traffic, multiple persons unknown to the victim"
91,"Y03",,"Assault by crashing of motor vehicle","Y03.09",,,"Assault by crashing of car with other motor vehicle, nontraffic, unspecified person"
92,"Y03",,"Assault by crashing of motor vehicle","Y03.08",,,"Assault by crashing of car with other motor vehicle, nontraffic, other specified person"
93,"Y03",,"Assault by crashing of motor vehicle","Y03.00",,,"Assault by crashing of car with other motor vehicle, nontraffic, spouse or domestic partner"
94,"Y03",,"Assault by crashing of motor vehicle","Y03.01",,,"Assault by crashing of car with other motor vehicle, nontraffic, parent"
95,"Y03",,"Assault by crashing of motor vehicle","Y03.02",,,"Assault by crashing of car with other motor vehicle, nontraffic, other family member"
96,"Y03",,"Assault by crashing of motor vehicle","Y03.03",,,"Assault by crashing of car with other motor vehicle, nontraffic, carer"
97,"Y03",,"Assault by crashing of motor vehicle","Y03.04",,,"Assault by crashing of car with other motor vehicle, nontraffic, acquaintance or friend"
98,"Y03",,"Assault by crashing of motor vehicle","Y03.05",,,"Assault by crashing of car with other motor vehicle, nontraffic, official authorities"
99,"Y03",,"Assault by crashing of motor vehicle","Y03.06",,,"Assault by crashing of car with other motor vehicle, nontraffic, person unknown to the victim"
100,"Y03",,"Assault by crashing of motor vehicle","Y03.07",,,"Assault by crashing of car with other motor vehicle, nontraffic, multiple persons unknown to the victim"
101,"Y03",,"Assault by crashing of motor vehicle","Y03.19",,,"Assault by crashing of car with fixed or stationary object, nontraffic, unspecified person"
102,"Y03",,"Assault by crashing of motor vehicle","Y03.18",,,"Assault by crashing of car with fixed or stationary object, nontraffic, other specified person"
103,"Y03",,"Assault by crashing of motor vehicle","Y03.10",,,"Assault by crashing of car with fixed or stationary object, nontraffic, spouse or domestic partner"
104,"Y03",,"Assault by crashing of motor vehicle","Y03.11",,,"Assault by crashing of car with fixed or stationary object, nontraffic, parent"
105,"Y03",,"Assault by crashing of motor vehicle","Y03.12",,,"Assault by crashing of car with fixed or stationary object, nontraffic, other family member"
106,"Y03",,"Assault by crashing of motor vehicle","Y03.13",,,"Assault by crashing of car with fixed or stationary object, nontraffic, carer"
107,"Y03",,"Assault by crashing of motor vehicle","Y03.14",,,"Assault by crashing of car with fixed or stationary object, nontraffic, acquaintance or friend"
108,"Y03",,"Assault by crashing of motor vehicle","Y03.15",,,"Assault by crashing of car with fixed or stationary object, nontraffic, official authorities"
109,"Y03",,"Assault by crashing of motor vehicle","Y03.16",,,"Assault by crashing of car with fixed or stationary object, nontraffic, person unknown to the victim"
110,"Y03",,"Assault by crashing of motor vehicle","Y03.17",,,"Assault by crashing of car with fixed or stationary object, nontraffic, multiple persons unknown to the victim"
111,"Y03",,"Assault by crashing of motor vehicle","Y03.29",,,"Assault by other specified crashing of motor vehicle, nontraffic, unspecified person"
112,"Y03",,"Assault by crashing of motor vehicle","Y03.28",,,"Assault by other specified crashing of motor vehicle, nontraffic, other specified person"
113,"Y03",,"Assault by crashing of motor vehicle","Y03.20",,,"Assault by other specified crashing of motor vehicle, nontraffic, spouse or domestic partner"
114,"Y03",,"Assault by crashing of motor vehicle","Y03.21",,,"Assault by other specified crashing of motor vehicle, nontraffic, parent"
115,"Y03",,"Assault by crashing of motor vehicle","Y03.22",,,"Assault by other specified crashing of motor vehicle, nontraffic, other family member"
116,"Y03",,"Assault by crashing of motor vehicle","Y03.23",,,"Assault by other specified crashing of motor vehicle, nontraffic, carer"
117,"Y03",,"Assault by crashing of motor vehicle","Y03.24",,,"Assault by other specified crashing of motor vehicle, nontraffic, acquaintance or friend"
118,"Y03",,"Assault by crashing of motor vehicle","Y03.25",,,"Assault by other specified crashing of motor vehicle, nontraffic, official authorities"
119,"Y03",,"Assault by crashing of motor vehicle","Y03.26",,,"Assault by other specified crashing of motor vehicle, nontraffic, person unknown to the victim"
120,"Y03",,"Assault by crashing of motor vehicle","Y03.27",,,"Assault by other specified crashing of motor vehicle, nontraffic, multiple persons unknown to the victim"
121,"Y03",,"Assault by crashing of motor vehicle","Y03.39",,,"Assault by unspecified crashing of motor vehicle, nontraffic, unspecified person"
122,"Y03",,"Assault by crashing of motor vehicle","Y03.38",,,"Assault by unspecified crashing of motor vehicle, nontraffic, other specified person"
123,"Y03",,"Assault by crashing of motor vehicle","Y03.30",,,"Assault by unspecified crashing of motor vehicle, nontraffic, spouse or domestic partner"
124,"Y03",,"Assault by crashing of motor vehicle","Y03.31",,,"Assault by unspecified crashing of motor vehicle, nontraffic, parent"
125,"Y03",,"Assault by crashing of motor vehicle","Y03.32",,,"Assault by unspecified crashing of motor vehicle, nontraffic, other family member"
126,"Y03",,"Assault by crashing of motor vehicle","Y03.33",,,"Assault by unspecified crashing of motor vehicle, nontraffic, carer"
127,"Y03",,"Assault by crashing of motor vehicle","Y03.34",,,"Assault by unspecified crashing of motor vehicle, nontraffic, acquaintance or friend"
128,"Y03",,"Assault by crashing of motor vehicle","Y03.35",,,"Assault by unspecified crashing of motor vehicle, nontraffic, official authorities"
129,"Y03",,"Assault by crashing of motor vehicle","Y03.36",,,"Assault by unspecified crashing of motor vehicle, nontraffic, person unknown to the victim"
130,"Y03",,"Assault by crashing of motor vehicle","Y03.37",,,"Assault by unspecified crashing of motor vehicle, nontraffic, multiple persons unknown to the victim"
131,"Y03",,"Assault by crashing of motor vehicle","Y03.49",,,"Assault by crashing of car with other motor vehicle, traffic, unspecified person"
132,"Y03",,"Assault by crashing of motor vehicle","Y03.48",,,"Assault by crashing of car with other motor vehicle, traffic, other specified person"
133,"Y03",,"Assault by crashing of motor vehicle","Y03.40",,,"Assault by crashing of car with other motor vehicle, traffic, spouse or domestic partner"
134,"Y03",,"Assault by crashing of motor vehicle","Y03.41",,,"Assault by crashing of car with other motor vehicle, traffic, parent"
135,"Y03",,"Assault by crashing of motor vehicle","Y03.42",,,"Assault by crashing of car with other motor vehicle, traffic, other family member"
136,"Y03",,"Assault by crashing of motor vehicle","Y03.43",,,"Assault by crashing of car with other motor vehicle, traffic, carer"
137,"Y03",,"Assault by crashing of motor vehicle","Y03.44",,,"Assault by crashing of car with other motor vehicle, traffic, acquaintance or friend"
138,"Y03",,"Assault by crashing of motor vehicle","Y03.45",,,"Assault by crashing of car with other motor vehicle, traffic, official authorities"
139,"Y03",,"Assault by crashing of motor vehicle","Y03.46",,,"Assault by crashing of car with other motor vehicle, traffic, person unknown to the victim"
140,"Y03",,"Assault by crashing of motor vehicle","Y03.47",,,"Assault by crashing of car with other motor vehicle, traffic, multiple persons unknown to the victim"
141,"Y03",,"Assault by crashing of motor vehicle","Y03.59",,,"Assault by crashing of car with fixed or stationary object, traffic, unspecified person"
142,"Y03",,"Assault by crashing of motor vehicle","Y03.58",,,"Assault by crashing of car with fixed or stationary object, traffic, other specified person"
143,"Y03",,"Assault by crashing of motor vehicle","Y03.50",,,"Assault by crashing of car with fixed or stationary object, traffic, spouse or domestic partner"
144,"Y03",,"Assault by crashing of motor vehicle","Y03.51",,,"Assault by crashing of car with fixed or stationary object, traffic, parent"
145,"Y03",,"Assault by crashing of motor vehicle","Y03.52",,,"Assault by crashing of car with fixed or stationary object, traffic, other family member"
146,"Y03",,"Assault by crashing of motor vehicle","Y03.53",,,"Assault by crashing of car with fixed or stationary object, traffic, carer"
147,"Y03",,"Assault by crashing of motor vehicle","Y03.54",,,"Assault by crashing of car with fixed or stationary object, traffic, acquaintance or friend"
148,"Y03",,"Assault by crashing of motor vehicle","Y03.55",,,"Assault by crashing of car with fixed or stationary object, traffic, official authorities"
149,"Y03",,"Assault by crashing of motor vehicle","Y03.56",,,"Assault by crashing of car with fixed or stationary object, traffic, person unknown to the victim"
150,"Y03",,"Assault by crashing of motor vehicle","Y03.57",,,"Assault by crashing of car with fixed or stationary object, traffic, multiple persons unknown to the victim"
151,"Y04",,"Assault by bodily force","Y04.09",,,"Assault by bodily force, unspecified person"
152,"Y04",,"Assault by bodily force","Y04.08",,,"Assault by bodily force, other specified person"
153,"Y04",,"Assault by bodily force","Y04.00",,,"Assault by bodily force, spouse or domestic partner"
154,"Y04",,"Assault by bodily force","Y04.01",,,"Assault by bodily force, parent"
155,"Y04",,"Assault by bodily force","Y04.02",,,"Assault by bodily force, other family member"
156,"Y04",,"Assault by bodily force","Y04.03",,,"Assault by bodily force, carer"
157,"Y04",,"Assault by bodily force","Y04.04",,,"Assault by bodily force, acquaintance or friend"
158,"Y04",,"Assault by bodily force","Y04.05",,,"Assault by bodily force, official authorities"
159,"Y04",,"Assault by bodily force","Y04.06",,,"Assault by bodily force, person unknown to the victim"
160,"Y04",,"Assault by bodily force","Y04.07",,,"Assault by bodily force, multiple persons unknown to the victim"
161,"Y05",,"Sexual assault by bodily force","Y05.09",,,"Sexual assault by bodily force, unspecified person"
162,"Y05",,"Sexual assault by bodily force","Y05.08",,,"Sexual assault by bodily force, other specified person"
163,"Y05",,"Sexual assault by bodily force","Y05.00",,,"Sexual assault by bodily force, spouse or domestic partner"
164,"Y05",,"Sexual assault by bodily force","Y05.01",,,"Sexual assault by bodily force, parent"
165,"Y05",,"Sexual assault by bodily force","Y05.02",,,"Sexual assault by bodily force, other family member"
166,"Y05",,"Sexual assault by bodily force","Y05.03",,,"Sexual assault by bodily force, carer"
167,"Y05",,"Sexual assault by bodily force","Y05.04",,,"Sexual assault by bodily force, acquaintance or friend"
168,"Y05",,"Sexual assault by bodily force","Y05.05",,,"Sexual assault by bodily force, official authorities"
169,"Y05",,"Sexual assault by bodily force","Y05.06",,,"Sexual assault by bodily force, person unknown to the victim"
170,"Y05",,"Sexual assault by bodily force","Y05.07",,,"Sexual assault by bodily force, multiple persons unknown to the victim"
171,"Y06.0",,"Neglect and abandonment, by spouse or partner","Y06.00",,,"Neglect and abandonment, spouse or domestic partner"
172,"Y06.1",,"Neglect and abandonment, by parent","Y06.01",,,"Neglect and abandonment, parent"
173,"Y06.2",,"Neglect and abandonment, by acquaintance or friend","Y06.04",,,"Neglect and abandonment, acquaintance or friend"
174,"Y06.8",,"Neglect and abandonment, by other specified persons","Y06.08",,,"Neglect and abandonment, other specified person"
175,"Y06.8",,"Neglect and abandonment, by other specified persons","Y06.02",,,"Neglect and abandonment, other family member"
176,"Y06.8",,"Neglect and abandonment, by other specified persons","Y06.03",,,"Neglect and abandonment, carer"
177,"Y06.8",,"Neglect and abandonment, by other specified persons","Y06.05",,,"Neglect and abandonment, official authorities"
178,"Y06.8",,"Neglect and abandonment, by other specified persons","Y06.06",,,"Neglect and abandonment, person unknown to the victim"
179,"Y06.8",,"Neglect and abandonment, by other specified persons","Y06.07",,,"Neglect and abandonment, multiple persons unknown to the victim"
180,"Y06.9",,"Neglect and abandonment, by unspecified person","Y06.09",,,"Neglect and abandonment, unspecified person"
181,"Y07.0",,"Other maltreatment, by spouse or partner","Y07.00",,,"Other maltreatment, spouse or domestic partner"
182,"Y07.1",,"Other maltreatment, by parent","Y07.01",,,"Other maltreatment, parent"
183,"Y07.2",,"Other maltreatment, by acquaintance or friend","Y07.04",,,"Other maltreatment syndromes, acquaintance or friend"
184,"Y07.3",,"Other maltreatment, by official authorities","Y07.05",,,"Other maltreatment, official authorities"
185,"Y07.8",,"Other maltreatment, by other specified persons","Y07.08",,,"Other maltreatment, other specified person"
186,"Y07.8",,"Other maltreatment, by other specified persons","Y07.02",,,"Other maltreatment, other family member"
187,"Y07.8",,"Other maltreatment, by other specified persons","Y07.03",,,"Other maltreatment syndromes, carer"
188,"Y07.8",,"Other maltreatment, by other specified persons","Y07.06",,,"Other maltreatment, person unknown to the victim"
189,"Y07.8",,"Other maltreatment, by other specified persons","Y07.07",,,"Other maltreatment, multiple persons unknown to the victim"
190,"Y07.9",,"Other maltreatment, by unspecified person","Y07.09",,,"Other maltreatment, unspecified person"
191,"Y08",,"Assault by other specified means","Y08.09",,,"Assault by other specified means, unspecified person"
192,"Y08",,"Assault by other specified means","Y08.08",,,"Assault by other specified means, other specified person"
193,"Y08",,"Assault by other specified means","Y08.00",,,"Assault by other specified means, spouse or domestic partner"
194,"Y08",,"Assault by other specified means","Y08.01",,,"Assault by other specified means, parent"
195,"Y08",,"Assault by other specified means","Y08.02",,,"Assault by other specified means, other family member"
196,"Y08",,"Assault by other specified means","Y08.03",,,"Assault by other specified means, carer"
197,"Y08",,"Assault by other specified means","Y08.04",,,"Assault by other specified means, acquaintance or friend"
198,"Y08",,"Assault by other specified means","Y08.05",,,"Assault by other specified means, official authorities"
199,"Y08",,"Assault by other specified means","Y08.06",,,"Assault by other specified means, person unknown to the victim"
200,"Y08",,"Assault by other specified means","Y08.07",,,"Assault by other specified means, multiple persons unknown to the victim"
201,"Y09",,"Assault by unspecified means","Y09.09",,,"Assault by unspecified means, unspecified person"
202,"Y09",,"Assault by unspecified means","Y09.08",,,"Assault by unspecified means, other specified person"
203,"Y09",,"Assault by unspecified means","Y09.00",,,"Assault by unspecified means, spouse or domestic partner"
204,"Y09",,"Assault by unspecified means","Y09.01",,,"Assault by unspecified means, parent"
205,"Y09",,"Assault by unspecified means","Y09.02",,,"Assault by unspecified means, other family member"
206,"Y09",,"Assault by unspecified means","Y09.03",,,"Assault by unspecified means, carer"
207,"Y09",,"Assault by unspecified means","Y09.04",,,"Assault by unspecified means, acquaintance or friend"
208,"Y09",,"Assault by unspecified means","Y09.05",,,"Assault by unspecified means, official authorities"
209,"Y09",,"Assault by unspecified means","Y09.06",,,"Assault by unspecified means, person unknown to the victim"
210,"Y09",,"Assault by unspecified means","Y09.07",,,"Assault by unspecified means, multiple persons unknown to the victim"
211,"Y10",,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics","Y10",,,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent"
212,"Y11",,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent","Y11",,,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"
213,"Y12",,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent","Y12",,,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"
214,"Y13",,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent","Y13",,,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent"
215,"Y14",,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent","Y14",,,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"
216,"Y15",,"Poisoning by and exposure to alcohol, undetermined intent","Y15",,,"Poisoning by and exposure to alcohol, undetermined intent"
217,"Y16",,"Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, undetermined intent","Y16",,,"Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, undetermined intent"
218,"Y17.0","1","Poisoning by and exposure to carbon monoxide from combustion engine exhaust, undetermined intent","Y17.0",,,"Poisoning by and exposure to carbon monoxide from combustion engine exhaust undetermined intent"
219,"Y17.1","1","Poisoning by and exposure to carbon monoxide from utility gas, undetermined intent","Y17.1",,,"Poisoning by and exposure to carbon monoxide from utility gas undetermined intent"
220,"Y17.2","1","Poisoning by and exposure to carbon monoxide from other domestic fuels, undetermined intent","Y17.2",,,"Poisoning by and exposure to carbon monoxide from other domestic fuels undetermined intent"
221,"Y17.3","1","Poisoning by and exposure to carbon monoxide from other sources, undetermined intent","Y17.3","1",,"Poisoning by and exposure to carbon monoxide from other sources, undetermined intent"
222,"Y17.4","1","Poisoning by and exposure to carbon monoxide from unspecified sources, undetermined intent","Y17.4","1",,"Poisoning by and exposure to carbon monoxide from unspecified sources, undetermined intent"
223,"Y17.8","1","Poisoning by and exposure to other specified gases and vapours, undetermined intent","Y17.8",,,"Poisoning by and exposure to other specified gases or vapours, undetermined intent"
224,"Y17.9","1","Poisoning by and exposure to unspecified gases and vapours, undetermined intent","Y17.9",,,"Poisoning by and exposure to unspecified gases or vapours, undetermined intent"
225,"Y18",,"Poisoning by and exposure to pesticides, undetermined intent","Y18",,,"Poisoning by and exposure to pesticides, undetermined intent"
226,"Y19",,"Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent","Y19",,,"Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent"
227,"Y20",,"Hanging, strangulation and suffocation, undetermined intent","Y20",,,"Hanging, strangulation and suffocation, undetermined intent"
228,"Y21",,"Drowning and submersion, undetermined intent","Y21.9",,,"Drowning and submersion in unspecified  water, undetermined intent"
229,"Y21",,"Drowning and submersion, undetermined intent","Y21.8",,,"Drowning and submersion in other specified water, undetermined intent"
230,"Y21",,"Drowning and submersion, undetermined intent","Y21.0",,,"Drowning and submersion in bath-tub, undetermined intent"
231,"Y21",,"Drowning and submersion, undetermined intent","Y21.1",,,"Drowning and submersion in swimming pool, undetermined intent"
232,"Y21",,"Drowning and submersion, undetermined intent","Y21.2",,,"Drowning and submersion in natural water, undetermined intent"
